id,question,answer,page_ref,is_paper_2
1,What are <b>carbohydrate</b> molecules made up of?,"&bull; They contain <b>carbon, hydrogen, and oxygen</b> <br>&bull; Long carbohydrates (like glycogen and starch) are made up of smaller molecules (like glucose and maltose) in long chains",12,0
2,What are <b>proteins</b> made up of?,"&bull; All proteins contain <b>carbon, nitrogen, hydrogen and oxygen</b> <br>&bull; They are made from long chains of <b>amino acids</b>",12,0
3,What are <b>lipids</b> made up of?,"&bull; Lipids contain the elements: <b>carbon, hydrogen and oxygen</b> (like carbohydrates) <br>&bull; They are built from <b>fatty acids and glycerol</b>",12,0
4,How can you test for glucose?,"<b>Benedict's Reagent</b>: <br><br>&bull; Add the reagent (it's blue) <br>&bull; Heat it (don't boil it though) <br>&bull; After some time (around 10 mins), ff glucose is present, it will form a colored precipitate (its color changes from blue gradually to red) <br>&bull; There will be more of a color change if the glucose is of a higher concentration",12,0
5,What do you use to test for starch?,"<b>Iodine solution</b>: After adding iodine to the test sample, if starch is present the sample changes from <i>brown-orange</i> to <i>blue-black</i>, otherwise it will just remain <i>brown-orange</i>",12,0
6,Give examples of foods where carbohydrates are found,"Pasta, rice, sugar, etc.",13,0
7,"This nutrient provides energy but also insulation, and acts as an energy store. What is it?",Lipids (fats and oils),13,0
8,Meat and fish are useful to eat because...,"They contain <b>proteins</b>. <br><br>Proteins are used for growth and repair (like when you're growing, or get a cut), but they can also give energy in emergencies",13,0
9,Which vitamin improves vision and keeps your skin and hair healthy (and what food can it be found in)?,<b>Vitamin A</b> - it can be found in liver,13,0
10,Vitamin C can be found in... (And it is used for...),<b>Oranges</b> give vitamin C which is needed to <b>prevent scurvy</b>,13,0
11,"What vitamin can be found in eggs, and what does it do?",<b>Vitamin D</b> is needed for calcium absorption,13,0
12,Give examples of two mineral ions?,Calcium and Iron,13,0
13,Milk and cheese are good foods because...,They contain <b>calcium</b> which is used for maintaining healthy bones and teeth,13,0
14,Give an example of a food that contains iron.,Red meat,13,0
15,What is iron used for?,Making <b>haemoglobin</b> (for healthy blood),13,0
16,Why do we need to drink water?,"Pretty much every function in our bodies needs water. We always lose water (e.g. urinating, breathing, sweating), so we need <b>to keep it topped up</b>",13,0
17,Dietary fibre is found in foods like...,Wholemeal bread,13,0
18,What are dietary fibres used for?,Aiding the movement of food through the gut,13,0
19,List the seven nutrients,&bull; Carbohydrates <br>&bull; Proteins <br>&bull; Lipids <br>&bull; Vitamins <br>&bull; Mineral ions <br>&bull; Dietary fibre <br>&bull; Water,13,0
20,Why is a balanced diet important?,You get all the nutrients <b>in the right proportions</b>,13,1
21,How do energy requirements vary between different people,<b>Activity level</b>: <br>More active people need more energy <br><br><b>Pregnancy</b>: <br>Pregnant women need more energy to provide to their developing babies <br><br><b>Age</b>: <br>Children and teenagers need more energy (than older people) as they are growing and are more active,13,1
22,"To measure the amount of energy a food contains, it can be burnt. This is called...",Calorimetry,14,1
24,"In calorimetry, how can the amount of energy be calculated?",Energy  = Mass of Water &times; Temp. change of water (in &deg;C) &times; 4.2,14,1
25,"In the formula for calorimetry, what does <b>4.2</b> represent?",The amount of energy (in Joules) needed to heat 1g of water by 1 &deg;C,14,1
