id,question,answer,page_ref,is_paper_2
1,Any change in the internal or external environment of an organism is called...,A <b>stimulus</b>,43,0
2,What is the name given to something that detects <b>stimuli</b>?,Receptors,43,0
3,What are <b>effectors</b>?,"Cells that bring about a <b>response</b> to <b>stimuli</b> <br><br>(e.g. muscle cells, and cells found in glands)",43,0
4,The nervous system is made up of...,<b>Neurones</b> (nerve cells),43,0
5,List the <b>three</b> main types of neurones,&bull; Sensory neurones <br>&bull; Relay neurones <br>&bull; Motor neurones,43,0
6,What does the central nervous system consist of?,The <b>brain</b> and <b>spinal cord</b> only,43,0
7,Why does the nervous system give <b>rapid responses</b>?,Neurones transmit information using <b>high speed electrical impulses</b>,43,0
8,How does the central nervous system coordinate responses?,&bull; <b>Receptors</b> in a sense organ detect a <b>stimulus</b> and send <b>electrical impulses</b> along <b>sensory neurones</b> to the <b>CNS</b> (central nervous system) <br>&bull; The CNS sends electrical impulses to an <b>effector</b> along the <b>motor neurone</b> <br>&bull; The effector <b>responds</b> accordingly,43,0
9,Coordinated responses always need...,"A <b>stimulus</b>, a <b>receptor</b> and an <b>effector</b>",43,0
10,Give examples of reflexes,"&bull; <b>Pupils</b> automatically get smaller in <b>bright light</b> to prevent it getting damaged <br>&bull; If you get a shock, your body releases <b>adrenaline</b> (a hormone) automatically",44,0
11,The route taken by the information in a reflex (from receptor to effector) is called...,A <b>reflex arc</b>,44,0
12,What are the steps in the <b>reflex arc</b>?,"&bull; <b>Stimulus</b> (e.g. cupcake burning finger) <br>&bull; Detected by a <b>receptor</b> <br>&bull; Impulses travel along the <b>sensory neurone</b> <br>&bull; Impulses are passed along a <b>relay neurone</b>, via a <b>synapse</b> (gap between two neurones) <br>&bull; Impulses travel along a <b>motor neurone</b>, via a <b>synapse</b> <br>&bull; Impulses reach the muscle (<b>effector</b>) <br>&bull; Muscle takes action (<b>response</b>)",44,0
13,Label a diagram of the eye,#see-guide,45,0
14,What does the <b>conjunctiva</b> do in the eye?,It <b>lubricates</b> and <b>protects</b> the surface of the eye,45,0
15,What is the function of the <b>cornea</b>?,"It <b>refracts</b> (bends) light into the eye. <br><br>It is <b>transparent</b> and has <b>blood vessels</b> to supply it with oxygen, so oxygen <b>diffuses in</b> from the outer surface.",45,0
16,"In the eye, what does the <b>iris</b> do?","It controls the <b>diameter</b> of the <b>pupil</b> (the hole in the middle), and therefore <b>how much light</b> enters the eye",45,0
17,What is the role of the <b>lens</b> in the eye?,It <b>focuses light</b> onto the <b>retina</b> (the light-sensitive part),45,0
18,Name the two types of light receptors covering the retina,"<b>Rods</b><br>are more sensitive in <b>dim light</b> but <b>can't</b> sense colour. <br><br><b>Cones</b><br>are sensitive to <b>colours</b> but aren't good in dim light. Cones are found all over the retina, but there are a lot of them at the <b>fovea</b>.",45,0
