id,question,answer,page_ref,is_paper_2
1,What is a <b>gene</b>?,<b>A short section of DNA</b> <br><br>Each separate gene is a <b>chemical instruction</b> that says how to make a particular <b>protein</b> (which in turn determine particular characteristics),51,0
2,Different versions of the same gene are called...,Alleles,51,0
3,A DNA molecule is in the shape of a...,<b>Double helix</b> (two spirals),51,0
4,What are the four different bases in DNA molecules?,&bull; <b>Adenine</b> (A) <br>&bull; <b>Cytosine</b> (C) <br>&bull; <b>Guanine</b> (G) <br>&bull; <b>Thymine</b> (T),51,0
5,How do bases pair in DNA?,"A-T and C-G <br><br><small><i>You can remember that the curly letters, C and G always pair together</i></small>",51,0
6,What does '<b>complementary base-pairing</b>' mean?,That bases in DNA molecules are <b>paired</b> and they always pair up in the same way,51,0
7,What is a <b>diploid</b> cell?,"They have <b>two copies</b> of each chormosome, arranged in <b>pairs</b>. <br><br>&bull; Human diploid cells contain <b>46 chromosomes</b> in total.",51,0
8,Which type of cell division is involved in <b>asexual</b> reproduction?,Mitosis,52,0
9,Describe <b>asexual reproduction</b> (in general),It involves only <b>one</b> parent. The offspring have <b>identical genes</b> to the parent - so there's <b>no variation</b> between parent and offspring.,52,0
10,Define <b>mitosis</b>,A cell reproduces itself by <b>splitting</b> to form <b>two cells</b> with <b>identical sets of chromosomes</b>,52,0
11,Describe the process of <b>mitosis</b>,"&bull; If the cell gets a signal to <b>divide</b>, it <b>duplicates</b> its DNA (so there's one copy for each cell). The DNA forms <b>X-shaped</b> chromosomes. <br>&bull; The chromosomes <b>line up</b> at the centre of the cell and <b>cell fibres</b> pull them apart. The <b>two arms</b> of each chromosome go to <b>opposite ends</b> of the cell. <br>&bull<b>Membranes</b> form around each of the sets of chromosomes. These become the <b>nuclei</b> of the two new cells. <br>&bull; Finally, the <b>cytoplasms</b> divides.",52,0
12,"In addition to asexual reproduction, <b>mitosis</b> is useful for...",Making <b>new cells</b> for <b>growth and repair</b>,52,0
13,What is a <b>haploid</b> cell?,They have <b>half</b> the number of chromosomes in a normal cell. <br><br>&bull; Human haploid cells contain <b>23 chromosomes</b>.,53,0
14,Describe <b>sexual reproduction</b> (in general),"Involves the <b>fusion</b> of male and female <b>gametes</b>. Because there are <b>two</b> parents, the offspring contain <b>a mixture of their parents' genes</b>.",53,0
15,What are <b>gametes</b>?,Male or female <b>haploid cells</b> which can join with another of the opposite sex in sexual reproduction to form a <b>zygote</b> <br><br>E.g. <b>sperm</b> and <b>egg</b> cells,53,0
16,What is a <b>zygote</b>?,A <b>diploid</b> cell formed from the <b>fusion</b> of two gametes - i.e. a <b>fertilised egg</b>,53,0
17,Which type of cell division is involved in <b>sexual</b> reproduction?,Meiosis,53,0
18,Define <b>meiosis</b>,A process which produces <b>four haploid cells</b> whose chromosomes are <b>not identical</b>,53,0
19,Describe the process of <b>meiosis</b>,"&bull; The cell <b>duplicates</b> its <b>DNA</b>. <br<&bull; The chromosomes <b>line up</b> in pairs in the centre of the cell before being <b>pulled apart</b> (so each new cell only has one copy of each chromosome) <br>&bull; Each new cell will have a <b>mixture</b> of the mother's and father's chromosomes, creating <b>variation</b> in the offspring. <br>&bull; Chromosomes <b>line up again</b> and the <b>arms</b> of the chromosomes are <b>pulled apart</b> <br>&bull; The result is <b>four haploid gametes</b> where each only has a <b>single set</b> of chromosomes. The gametes are <b>genetically different</b>",53,0
20,What is the name given to the <b>male</b> reproductive part of a plant?,The <b>stamen</b>,54,0
21,What name is given to the <b>female</b> reproductive part of a plant?,The <b>carpel</b>,54,0
22,The <b>stamen</b> consists of...,The <b>anther</b> and the <b>filament</b>,54,0
23,The <b>carpel</b> consists of...,"The <b>ovary, style</b> and <b>stigma</b>",54,0
24,"In a plant, what are the roles of the <b>anther</b> and <b>filament</b>?",The ANTHER: <br>Contains <b>pollen grains</b> which produce the <b>male gametes</b> <br><br>The FILAMENT: <br>The <b>stalk</b> that supports the anther.,54,0
25,"What are the roles of the <b>stigma, style</b> and <b>ovary</b> in plants?",The STIGMA: <br>The '<b>end</b> bit' that <b>pollen<b> grains <b>attach</b> to <br><br>The STYLE: <br>The rod-like section that <b>supports</b> the stigma <br><br>The OVARY: <br>Contains the <b>female gametes</b> (eggs) inside <b>ovules</b>,54,0
26,What is <b>pollination</b>?,"The <b>transfer of pollen</b> from an <b>anther</b> to a <b>stigma</b>, so that the male gametes can <b>fertilise</b> the female gametes in sexual reproduction",54,0
27,What is <b>cross-pollination</b>?,A type of <b>sexual reproduction</b> where pollen is transferred from the anther of <b>one plant</b> to the stigma of <b>another</b>. <br><br>Plants that cross-pollinate reply on things like <b>insects</b> or the <b>wind</b> to help them pollinate.,54,0
28,How are some plants adapted for <b>insect</b> pollination?,"&bull; <b>Brightly coloured petals</b> to attract insects <br>&bull; <b>Scented flowers</b> and <b>nectaries</b> (glands that secrete <b>nectar</b>) to attract insects <br>&bull; They make <b>big, sticky pollen grains</b> which <b>stick to insects</b> as they go from plant to plant <br>&bull; The <b>stigma</b> is also <b>sticky</b> so that any <b>pollen</b> picked up by insects on other plants will <b>stick to the stigma</b>",54,0
29,What are some features of plants that are adapted for <b>wind pollination</b>?,"&bull; <b>Small, dull petals</b> and <b>no nectaries</b> or strong <b>scents</b> (they don't need to attract insects) <br>&bull; A <b>lot</b> of <b>pollen</b> grains - they're <b>small</b> and <b>light</b> so that they can easily be <b>carried</b> by the wind <br>&bull; <b>Long filaments</b> that <b>hang</b> the anthers <b>outside</b> the flower, so that a lot of the <b>pollen</b> gets <b>blown away</b> by the wind <br>&bull; A <b>large</b> and <b>feathery stigma</b> to <b>catch pollen</b> as it's carried past by the wind. The stigma often <b>hangs outside</b> the flower too.",54,0
30,How does fertilisation occur in plants?,"&bull; A <b>pollen</b> grain lands on the <b>stigma</b> of a flower, usually with help from insects or the wind. <br>&bull; A <b>pollen tube</b> grows out of the pollen grain and down through the <b>style</b> to the <b>ovary</b> and into the <b>ovule</b>. <br>&bull; A <b>nucleus</b> from the male gamete <b>moves down the tube</b> to join with a female gamete in the <b>ovule</b>. <b>Fertilisation</b> is when the two nuclei <b>fuse</b> together to make a zygote. This divides by mitosis to form an <b>embryo</b>. <br>&bull; Each <b>fertilised</b> female gamete forms a <b>seed</b>. The <b>ovary</b> develops into a <b>fruit</b> around the seed.",55,0
31,Germination is...,When <b>seeds start</b> to <b>grow</b>,55,1
32,When do seeds start <b>germinating</b>? Why?,"A seed will lie <b>dormant</b> until the conditions are right for germination: <br><br>&bull; <b>Water</b> - to <b>activate</b> the enzymes that <b>break down food</b> reserves in the seed <br>&bull; <b>Oxygen</b> - for respiration, which provides <b>energy</b> for growth <br>&bull; A suitable <b>temperature</b> - for the enzymes inside the seed to work (depends on the <b>type</b> of seed)",55,1
33,Label a cross-section of a <b>seed</b>,#see-guide,55,1
34,How does the seed help the plant develop?,"&bull; When a seed starts to <b>germinate</b>, it gets <b>glucose</b> for respiration from its <b>food store</b>, which gives it <b>energy</b> to grow. <br>&bull; Once the plant has grown enough to produce <b>green leaves</b>, it can get its own food for energy from <b>photosynthesis</b>.",55,1
35,Give an example of how plants can reproduce <b>asexually</b> using <b>natural methods</b>,"&bull; Strawberry plants send out <b>runners</b> - <b>fast growing stems</b> that grow out <b>sideways</b>, just above the ground <br>&bull; The runners <b>take root</b> at various points, and <b>new plants</b> start to grow. <br.&bull; The new plants are <b>clones</b> of the <b>parent</b> strawberry plant, so there's <b>no genetic variation</b>.",56,0
36,How can we clone plants artificially?,"&bull; Gardeners can take <b>cuttings</b> from good parent plants, and then plant them to produce <b>genetically identical copies</b> (clones) of the parent plant. <br>&bull; These plants can be produced <b>quickly and cheaply</b>.",56,0
37,Draw and label a diagram of a <b>male</b> human's reproductive system,#see-guide,57,0
38,What is the function of the <b>urethra</b> in the male reproductive system?,It's a tube which carries sperm through the penis during ejaculation. Urine also passes through the urethra to exit the body.,57,0
39,What is the <b>erectile tissue</b>?,It swells when filled with blood to make the penis erect.,57,0
40,What do the <b>testes</b> do?,Where sperm are made,57,0
41,What is the name of the muscular tube that carries <b>sperm</b> from the <b>testes</b> towards the <b>urethra</b>?,The sperm duct (aka. <em>'vas deferens'</em>),57,0
42,What is an <b>ovum</b> (plural: ova)?,<b>Female gametes</b>,57,0
43,Draw and label a diagram of a <b>female</b> human's reproductive system,#see-guide,57,0
44,What is the <b>Fallopian tube</b>?,A muscular tube that carries the ovum from the ovary to the uterus. <br><br>It's also known as the <b>oviduct</b>.,57,0
45,What is the name of the female organ where an embryo grows?,The <b>uterus</b> (womb),57,0
46,What is the <b>endometrium</b> and what does it do?,The lining of the uterus. <br><br>It has a good blood supply for implantation of an embryo.,57,0
47,What is the <b>cervix</b>?,The neck of the uterus,57,0
48,How is a human female gamete (egg) fertilised?,"&bull; An <b>ovum</b> (egg) is produced <b>every 28 days</b> from one of the two <b>ovaries</b> <br>&bull; It passes into the <b>Fallopian tube</b> and may meet <b>sperm</b> that have entered the vagina during <b>sexual intercourse</b> <br>&bull; If it <b>isn't fertilised</b> by sperm, the ovum will <b>break up</b> and pass out of the <b>vagina</b> <br>&bull; If it <b>is fertilised</b>, the ovum starts to divide. The new cells will travel down the Fallopian tube to the <b>uterus</b> and attach to the <b>endometrium</b> (uterus lining).",57,0
49,Oestrogen in women causes...,&bull; <b>Extra hair</b> on underarms and pubic areas <br>&bull; <b>Hips</b> to <b>widen</b> <br>&bull; Development of <b>breasts</b> <br>&bull; <b>Ovum</b> release and <b>start of periods</b>,57,0
50,Testosterone in men causes...,&bull; <b>Extra hair</b> on face and body <br>&bull; <b>Muscles</b> to <b>develop</b> <br>&bull; <b>Penis and testicles</b> to enlarge <br>&bull; <b>Sperm</b> production <br>&bull; <b>Deepening</b> of <b>voice</b>,57,0
51,Describe the four stages of the <b>menstrual cycle</b>,"&bull; The uterus lining <b>breaks down</b> for four days. <br>&bull; The uterus lining <b>builds up</b> into a thick spongy layer full of blood vessels, ready receive a fertilised ovum <br>&bull; An <b>ovum</b> develops and is released <br>&bull; The wall is <b>maintained</b>, before being broken down if no fertilised ovum lands on the uterus wall",58,0
52,Sketch a graph showing levels of <b>oestrogen</b> and <b>progesterone</b> during the menstrual cycle,#see-guide,58,0
53,How does <b>oestrogen</b> control the events of the menstrual cycle?,&bull; It causes the lining of the uterus to <b>thicken</b> and <b>grow</b> <br>&bull; It stimulates the <b>release of an ovum</b> at day 14,58,0
54,What is the role of <b>progesterone</b> in the menstrual cycle?,"It <b>maintains</b> the lining of the uterus. <br><br>When the level of progesterone <b>falls</b>, the lining <b>breaks down</b>.",58,0
55,"In later stages of pregnancy, the embryo is called a...",Fetus,58,0
56,What is the <b>placenta</b>?,"It lets the blood of the embryo and the mother get very close to allow the exchange of <b>food</b>, <b>oxygen</b> and <b>waste</b>.",58,1
57,What is the role of the <b>amniotic fluid</b>?,The <b>amnion membrane forms</b> which surrounds the embryo and is full of <b>amniotic fluid</b>. Amniotic fluid <b>protects</b> the embryo against knocks and bumps.,58,1
58,What is the meaning of the term <b>allele</b>?,<b>Alleles</b> are <b>different versions</b> of the same gene,59,0
59,Describe the difference between <b>dominant</b> and <b>recessive</b> alleles,"The <b>dominant</b> allele causes the characteristic that appears, and the other one is <b>recessive</b>. <br><br>Characteristics caused by recessive alleles only appear if <b>both alleles</b> are recessive.",59,0
60,How are alleles represented (in terms of letters)?,"<b>Dominant alleles</b> are always shown with a <b>capital letter</b> (e.g. 'C'), and <b>recessive alleles</b> with a <b>small letter</b> (e.g. 'c').",59,0
61,What is the meaning of the term <b>homozygous</b>?,There are <b>two alleles the same</b> for that particular gene (e.g. 'CC' or 'cc'),59,0
62,What does <b>heterozygous</b> mean?,There are <b>two different alleles</b> for that particular gene (e.g. 'Cc'),59,0
63,What is the difference between <b>genotype</b> and <b>phenotype</b>?,Your <b>genotype</b> is the <b>alleles</b> that you have. <br><br>Your <b>phenotype</b> is the <b>characteristics</b> the alleles produce.,59,0
64,"If neither allele is recessive, they are said to be...","<b>Codominant alleles</b>. <br><br>This means that characteristics from <b>both alleles</b> are shown (e.g. not blood group A or B, but blood group AB).",59,1
65,How would you draw a genetic diagram?,#see-guide,59,0
66,What is a <b>Punnett square</b>?,A genetic diagram in a grid format,60,0
67,How would you draw a Punnett square?,#see-guide,60,0
68,What are <b>family pedigrees</b>?,A family tree showing genetic disorders,61,0
69,Which pair of chromosomes in the body is responsible for determining gender?,The <b>23rd pair</b> (the final pair),61,0
70,How does the 23rd pair of chromosomes differ for males and females?,<b>All men</b> have an X and a Y chromosome: <b>XY</b>. The <b>Y chromosome</b> cause <b>male characteristics</b>. <br><br><b>All women</b> have two X chromosomes: <b>XX</b>. The <b>XX combination</b> causes <b>female characteristics</b>. ,61,0
71,Draw a genetic diagram to show there's an <b>equal chance</b> of having a boy or a girl,#see-guide,61,0
72,Genetic variation is caused by...,Genes,62,0
73,Most variation in <b>animals</b> is due to...,Genes <b>and</b> the environment,62,0
