id,question,answer,page_ref,is_paper_2
1,Define <b>habitat</b>,The <b>place</b> where an organism <b>lives</b>,66,0
2,Define <b>population</b>,<b>All</b> the organisms of <b>one species</b> in a <b>habitat</b>,66,0
3,Define <b>community</b>,All the <b>different species</b> in a habitat,66,0
4,Define <b>ecosystem</b>,"All the <b>organisms</b> living in a <b>particular area</b> and all the <b>non-living</b> (abiotic) <b>conditions</b> - e.g. temperature, climate, soil-type",66,0
5,What is a <b>quadrat</b>?,A square frame enclosing a known area (e.g. 1 m<sup>2</sup>),66,0
6,How can you estimate <b>population sizes</b> using a quadrat?,&bull; Place the <b>quadrat</b> on the ground at a <b>random point</b> within the area you're investigating <br>&bull; <b>Count</b> all the organisms within the quadrat <br>&bull; <b>Multiply</b> the number of organisms by the <b>total area</b> (in m<sup>2</sup>) of the habitat,66,0
7,What two points you should keep in mind when estimating population sizes with quadrats?,"The sample may not be <b>representative</b> of the population (i.e. what you find in your sample may be different from what you'd find if you'd looked at other parts of the habitat) <br><br> The <b>sample size</b> affects the <b>accuracy</b> of the estimate - the bigger your sample, the more accurate your estimate of the total population is likely to be (so you should use the quadrat at several points and get an average, then multiply for the total area)",66,0
8,How can you use quadrats to investigate <b>distribution of organisms</b>?,&bull; <b>Mark out a line</b> in the area you want to study (e.g. from the hedge to the middle of the field) <br>&bull; Then <b>collect data</b> along the line using <b>quadrats</b> placed <b>next to</b> each other,66,0
9,"In a food chain, producers are eaten by...",Primary consumers,67,0
10,"Primary consumers, in a food chain, are eaten by...",Secondary consumers,67,0
11,"In a food chain, secondary consumers get eaten by...",Tertiary consumers,67,0
12,"What is the name given to each stage of a food chain (e.g. producers, primary consumers, etc)?",Trophic levels,67,0
13,What does each bar on a <b>pyramid of numbers</b> represent?,The <b>number of organisms</b> at that stage of the food chain,67,0
14,"On a <b>pyramid of biomass</b>, what does each bar represent?",The <b>mass of living material</b> at that stage of the food chain,67,0
15,What do <b>pyramids of energy transfer</b> show?,They show the <b>energy</b> transferred to each trophic level in a food chain,67,0
16,How is energy lost along a food chain?,&bull; Some parts of food (e.g. roots or bones) <b>aren't eaten</b> by organisms so the energy isn't <b>taken in</b>. <br>&bull; Some parts of food are <b>indigestible</b> (e.g. fibre) so pass through organisms and come out as <b>waste</b> <br>&bull; A lot of the energy that does get taken in is used for <b>staying alive</b> (e.g. <b>respiration</b>) <br>&bull; Most energy is eventually lost as <b>heat</b> <br>&bull; Only around <b>10%</b> of the energy available becomes <b>biomass</b> and gets transferred to the next trophic level,68,0
17,Food webs show how...,Food chains are linked,68,0
18,"Throughout trophic levels, energy is...",Transferred,68,0
19,What does it mean when species in a food web are <b>interdependent</b>?,"If one species changes (e.g. population decrease), it <b>affects all the others</b>",68,0
20,Draw a diagram showing the <b>water cycle</b>,#see-guide,69,1
21,Describe the <b>water cycle</b>,"<br>&bull; <b>Heat</b> from the <b>Sun</b> makes water <b>evaporate</b> from the land and sea, turning it into <b>water vapour</b> (water also evaporates from plants - <b>transpiration</b>) <br>&bull; The warm water vapour is <b>carried upwards</b> (as warm air rises), and when it gets higher up, it <b>cools</b> and <b>condenses</b>, forming <b>clouds</b> <br>&bull; Water falls from the clouds as <b>precipitation</b> (rain, but sometimes snow/hail) and is <b>returned</b> to the land and sea",69,1
22,Draw a diagram of the <b>carbon cycle</b>,#see-guide,69,0
