id,question,answer,page_ref,is_paper_2
1,Define <em>diffusion</em>,The net movement of particles from an area of higher concentration to an area of lower concentration,2,0
2,Describe an experiment to demonstrate diffusion in a liquid,<b>Potassium Manganate(VII) and Water</b>: <br>Place some potassium mangante(VII) at the bottom of a beaker of water. The purple colour will eventually spread out evenly to fill the beaker.,2,0
3,Describe <b>two</b> experiments to demonstrate diffusion in gases,"<b>Ammonia and Hydrogen Chloride</b>:<br>Put a piece of cotton wool soaked in aqueous ammonia and another soaked in hydrochloric acid at opposite ends of a glass tube. The gases (NH3 and HCl) diffuse and meet closer to where the hydrochloric acid was. This is because ammonia particles are lighter so they diffuse more quickly. <br><br><b>Bromine Gas and Air</b>:<br>Fill half a gas jar with bromine gas (which is brown colour), and the other half full of air - separate these with a glass plate. When the glass plate is removed, you can see the brown bromine gas slowly diffusing through the air.",2,0
4,The nucleus of an atom contains...,<b>Protons</b> and <b>neutrons</b>,3,0
5,Where is the nucleus in an atom?,In the middle,3,0
6,Describe <em>electrons</em>,"Tiny, <b>negatively charged</b> particles that move <b>around the nucleus</b> of an atom in energy levels called <em>shells</em>. They have virtually <b>no mass</b>.",3,0
7,Which particle in an atom is <b>positively charge</b>?,The <b>protons</b>,3,0
8,Which particle in an atom is <b>neutral</b>?,The <b>neutrons</b>,3,0
9,The atomic number of an atom represents...,The number of <b>protons</b> (which is also equal to the number of <b>electrons</b>),3,0
10,The mass number of an atom represents...,The total number of <b>protons and neutrons</b> (so its mass),3,0
11,Atoms can join together to form...,Molecules,3,0
12,Molecules are held together by what type of bonds?,Covalent bonds,3,0
13,What is a compound?,A substance that is made of <b>two or more different elements</b> which are <b>chemically bonded</b> (joined) together. <br><br>The properties of a compound are often totally different from the properties of the original elements.,4,0
14,Describe a <em>mixture</em>,Mixtures can be <b>easily separated</b> since there's <b>no chemical bond</b> between the different parts of a mixture. The parts can be separated by physical methods such as distillation. <br><br>The properties of a mixture are just a mixture of the properties of the separate parts.,4,0
15,How are <b>elements</b> different from compounds and mixtures?,Elements consist of <b>one type</b> of atom only,4,0
16,What method can you use to separate an <b>insoluble solid</b> from a liquid?,<b>Filtration</b><br>(the one where you use filter paper),5,0
17,What is <b>crystallisation</b> be used for?,Separating a <b>soluble solid</b> from a <b>solution</b>,5,0
18,How do you <b>crystallise</b> a product?,"&bull; Pour the solution into an evaporating dish <br>&bull; Slowly <b>heat</b> it so that some of the solvent evaporates and the solution becomes more concentrated <br>&bull; Stop heating when <b>crystals</b> start to form <br>&bull; Remove the dish from the heat, leaving it in a wam place for the rest of the solvent to slowly evaporate - this ways you get big crystals <br>&bull; Finally, dry the product using a <b>drying oven</b> (or <b>desiccator</b>, which uses chemicals to remove water from the surroundings).",5,0
19,What processes can be used to separate <b>rock salt</b>?,<b>Filtration</b> and <b>Crystallisation</b>: <br>&bull; <b>Grind up</b> the rock salt with a <b>pestle and mortar</b> <br>&bull; <b>Dissolve</b> it in a beaker and stir <br>&bull; <b>Filter</b> through filter paper in a funnel <br>&bull; <b>Evaporate</b> in an evaporating dish,5,0
20,How do you do <b>paper chromatography</b>?,"&bull; Draw a <b>line</b> near the bottom of some <b>filter paper</b> using a <b>pencil</b> <br>&bull; Add <b>spots</b> of different <b>dyes</b> to the line at regular intervals <br>&bull; Loosely <b>roll</b> the sheet up and put it in a <b>beaker of solvent</b> (e.g. water or ethanol) <br>&bull; Make sure the dyes aren't touching the solvent. <br>&bull; Place a <b>lid</b> on top of the container to stop the solvent evaporating <br>&bull; The solvent <b>seeps</b> up the paper, carrying the dyes with it. <br>&bull; Each dye will move up at a <b>different rate</b> and form a <b>spot</b> in a different place. <br>&bull; The end result is a <b>chromatogram</b>.",6,0
21,How does <b>chromatography</b> separate mixtures?,&bull; Different dyes move up the paper at different rates <br>&bull; Some will stick to the paper and others will dissolve more readily in the solvent and travel more quickly <br>&bull; The distance the dyes travel up the paper depends on the solvent and the paper you use.,6,0
22,What is the purpose of chromatography?,It can be used to help identify unknown dyes,6,0
23,What is simple distillation used for?,It is used to separate out a liquid from a solution,7,0
24,Describe the process of simple distillation,"&bull; The solution is <b>heated</b>. The part of the solution that has the lowest boiling point <b>evaporates</b>. <br>&bull; The <b>vapour</b> is then cooled, it <b>condenses</b>, and is <b>collected</b>. <br>&bull; The rest of the solution is left behind in the flask.",7,0
25,What is the main issue with simple distillation?,You can only use it to separate things with very <b>different boiling points</b>,7,0
26,What is fractional distillation used for?,It can be used to separate a <b>mixture of liquids</b>,7,0
27,Describe the process of fractional distillation in the lab,"&bull; Put your <b>mixture</b> in a flash and place a <b>fractionating column</b> on top. Then heat it. <br>&bull; The different liquids will have <b>different boiling points</b> so they will evaporate at <b>different temperatures</b> <br>&bull; The liquid with the <b>lowest boiling point evaporates first</b>. When the temperature on the thermometer matches the boiling point of this liquid, it will reach the top of the column. <br>&bull; Liquids with higher boiling points might also start to evaporate but the column is <b>cooler towards the top</b>. So they will get part of the way up before <b>condensing</b> and running back down. <br>&bull; After the first liquid has been collected, you <b>raise the temperature</b> so next one reaches the top.",7,0
28,The periodic table shows elements in order of...,Increasing atomic number,8,0
29,What is the name given to the vertical columns of the periodic table?,Groups,8,0
30,What do electrons in the same <b>group</b> have in common?,They all have the <b>same number</b> of electrons in their <b>outer shell</b>,8,0
31,What is the particular name given to <b>Group 1</b> elements?,Alkali metals,8,0
32,<b>Group 7</b> elements are also known as...,Halogens,8,0
33,Elements in <b>Group 0</b> are known as...,Noble gases (or inert gases),8,0
34,"How many electrons are 'allowed' in the 1st, 2nd and 3rd shells?",1st shell: 2 electrons <br>2nd shell: 8 electrons <br>3rd shell: 8 electrons,9,0
35,"Given that nitrogen has <b>7 protons</b>, what is its electron configuration?","Since it has 7 protons, it must also have <b>7 electrons</b>. Remember also that the 1st shell only takes 2 electrons. So, the electron configuration of nitrogen is... <br><br><b>2, 5</b>",9,0
36,What is ionic bonding?,Atoms <b>lose or gain electrons</b> to form <b>charged particles</b> (ions) which are then <b>attracted</b> to one another (because of opposite charges). <br><br>This attraction is known as <b>electrostatic attraction</b> and gives ionic compounds their <b>high</b> melting and boiling points.,10,0
37,What is a giant ionic structure?,"&bull; Compounds with ionic bonding always have giant ionic structures <br>&bull; Ions are held together in a closely packed <b>3D lattice</b> arrangement by the attraction between oppositely charged ions. <br>&bull; Because the <b>electrostatic attraction</b> is very <b>strong</b>, and a lot of energy is needed to overcome the attraction, ionic compounds have <b>high</b> melting and boiling points.",11,1
