id,question,answer,page_ref,is_paper_2
1,What's the difference between <b>speed</b> and <b>velocity</b>?,"<b>Speed is just <b>how fast</b> you're going (e.g. 30 mph or 20 m/s) with no regard to the direction. <br><br><b>Velocity</b> however must <b>also</b> have the <b>direction</b> specified (e.g. 30 mph north, or 20 m/s, 060&deg;).",1,0
2,What formula can you use to calculate average speed?,Average speed = Distance moved &divide; Time taken,1,0
3,Define <b>acceleration</b>,"<b>How quickly</b> the velocity is <b>changing</b>. <br>It can be a change in speed, change in direction, or both (but you only need to worry about change in speed for calculations).",1,0
4,How can you calculate acceleration?,Acceleration = Change in velocity &divide; Time taken,1,0
5,"On a distance-time graph, the gradient represents...",Speed,2,0
6,A flat (horizontal) line on a distance-time graph shows...,Where speed has <b>stopped</b>,2,0
7,Curves on a distance-time graph show...,Acceleration or deceleration,2,0
8,How can you calculate speed from a distance-time graph?,The <b>gradient</b> (i.e. vertical &divide; horizontal),2,0
9,How is acceleration shown on a velocity-time graph?,It's the <b>gradient</b>,2,0
10,Flat/horizontal lines on a velocity-time graph represent...,Steady speed,2,0
11,"On a velocity-time graph, a curve means...",Changing acceleration,2,0
12,How can you calculate acceleration from a velocity-time graph?,The <b>gradient</b> (i.e. vertical &divide; horizontal),2,0
13,What is <b>gravity</b>?,"The <b>force of attraction</b> between <b>all masses</b>. <br><br>&bull; It makes things <b>accelerate</b> towards the <b>ground</b> on the surface of a planet <br>&bull; It gives everything a <b>weight</b> <br>&bull; It keeps planets, moons, etc. in their <b>orbits</b>. <br>&bull; An orbit is a <b>balance</b> between the <b>forward</b> motion of the objet and the force of gracity pulling it <b>inwards</b>.",3,0
14,Describe the difference between <b>weight</b> and <b>mass</b>,"<b>Mass</b> is the <b>amount of 'stuff'</b> in an object - for any given object, this will be the same anywhere in the Universe <br><br><b>Weight</b> is caused by the <b>pull</b> of gravity. An object's weight will be different on different planets.",3,0
15,State the formula linking weight and mass,Weight = mass &times; gravitational field strength,3,0
16,List at least five different types of force,"&bull; <b>Gravity</b> acting straight downwards <br>&bull; <b>Reaction force</b> from a surface, usually acting straight upwards <br>&bull; <b>Electrostatic force</b> between two charged objects (direction depends on the type of charges) <br>&bull; <b>Thrust</b> when an engine or rocket speeds something up <br>&bull; <b>Drag</b> / <b>air resistance</b> / <b>friction</b> slows an object down <br>&bull; <b>Lift</b> due to an aeroplane wing <br>&bull; <b>Tension</b> in a rope or cable",4,0
17,Friction occurs in three main ways. What are they?,&bull; Friction between <b>solid surfaces</b> which are gripping (static friction) <br>&bull; Friction between <b>solid surfaces</b> which are <b>sliding</b> past each other <br>&bull; <b>Resistance</b> or 'drag' from <b>fluids</b> (liquids or gases - e.g. air).,4,0
18,How can you reduce friction between solid surfaces?,Putting a <b>lubricant</b> like <b>oil</b> between the surfaces,4,0
19,How is friction/resistance/drag an issue in cars?,"When cars move, there is <b>air resistance</b> which can slow things down. <br><br>Also, in <b>fluids</b> (like air), <b>friction always increases as the speed increases</b>",4,0
20,Describe an experiment to investiage the motion of a toy car on a ramp,"&bull; Mark a <b>line</b> on the ramp to make sure the car starts from the <b>same points</b> each time <br>&bull; Measure the <b>distances</b> between light gates (place one at the start line, one at the end of the ramp/start of the runway, and another at the end of the runway). You need this to help with finding average speed. <br>&bull; The light gate should be connected to a <b>computer</b>. So, when the car passes through each <b>light gate</b>, a beam of light is broken and a <b>time</b> is recorded. <br>&bull; <b>Repeat</b> to find an <b>average time</b> it takes for the car to reach each light gate (more reliable results) <br>&bull; Find the <b>average speed</b> using the distance between the gates and average time taken",5,0
21,Define <b>terminal velocity</b>,"When an object falls freely, there is <b>more force</b> accelerating them than resistance slowing them down. As <b>velocity</b> increases, resistance <b>builds up</b>. <br><br>Eventually, the <b>resistance force</b> will be <b>equal</b> to the <b>accelerating force</b> and then it won't be able to accelerate any more. It will have reached its maximum velocity, or <b>terminal velocity</b>.",6,0
