id,question,answer,page_ref,is_paper_2
1,List the nine types of energy,You can remember these using <b>PHLENCKS</b>... <br><br>&bull; <b>P</b>otential (gravitational and elastic) <br>&bull; <b>H</b>eat (or thermal) <br>&bull; <b>L</b>ight <br>&bull; <b>E</b>lectrical <br>&bull; <b>N</b>uclear <br>&bull; <b>C</b>hemical <br>&bull; <b>K</b>inetic <br>&bull; <b>S</b>ound,44,0
2,Gravitational potential is found in...,Anything that can fall,44,0
3,Elastic potential energy can be found in...,"Elastic bands, springs, and similar objects",44,0
4,Give two examples of where chemical energy can be found,&bull; Foods <br>&bull; Petrol,44,0
5,Potential energy (gravitational and elastic) and chemical energy are forms of...,Stored energy,44,0
6,What is the <b>Principle of the Conservation of Energy</b>?,Energy cannot be created or destroyed; it can only be transferred from one energy form to another,44,0
7,Energy transfers will always result in...,Losses in energy,45,0
8,How can the efficiency of a device be calculated?,<i>Efficiency</i> = <i>Useful output energy</i> &divide; <i>Total input energy</i>,45,0
9,What are the three ways that heat energy can be transferred?,"Radiation, conduction, and convection",48,0
10,"What is a Sankey diagram, and how are they drawn?",#see-guide,47,0
11,Define <em>radiation</em>,The transfer of (heat) energy <b>by electromagnetic waves</b>,48,0
12,Define <em>conduction</em>,<b>Vibrating particles</b> pass on their <b>extra kinetic energy</b> to <b>neighbouring particles</b> <br><br>Conduction occurs mainly <b>in solids</b>,48,0
13,Define <em>convection</em>,More energetic particles <b>move</b> from the hotter region to the cooler region and <b>take their heat energy with them</b> <br><br>Convection occurs mainly <b>in fluids only</b> (liquids and gases),49,0
14,Draw and label a diagram showing <b>convection currents</b> in a room with a radiator,#see-guide,49,0
15,How can heat loss be reduced at home?,&bull; Loft insulation <br>&bull; Hot water tank jacket <br>&bull; Draught proofing <br>&bull; Cavity wall insulation <br>&bull; Thick curtains <br>&bull; Double glazing,50,0
16,What material is often used (e.g. in loft insulation or a hot water tank jacket) to reduce heat loss?,A thick layer of wool made out of <b>fibreglass</b>,50,0
17,How can draught proofing reduce heat loss at home?,"The strips of foam and plastic around doors and windows prevent draughts of cold air blowing in, so they reduce heat loss from convection",50,0
18,What is cavity wall insulation?,Foam is squirted into the gap between the bricks. This stops convection currrents in the gap and radiation across the gap. The air pockets and foam reduce heat loss by conduction.,50,0
19,Humans can reduce the loss of heat from their bodies by...,"&bull; Having hairs stand on end <br>&bull; Wearing (warm) clothes <br><br>In both of these, warm air is trapped and kept in, keeping us warm",50,0
20,Work done is...,Energy transferred when a force moves an object,51,0
21,How is <em>work done</em> calculated?,<i>Work done</i> = <i>force</i> &times; <i>distance</i>,51,0
22,"State the formula linking <em>power</em>, <em>work done</em> and <em>time taken</em>",<i>P</i> = <i>W</i> &divide; <i>t</i> <br><br><i>Power</i> = <i>Work done</i> &divide; <i>Time taken</i>,51,0
23,Power is measured in...,Watts (or J/s),51,0
24,How can kinetic energy be calculated?,<i>Kinetic Energy</i> = <sup>1</sup>&frasl;<sub>2</sub> &times; <i>mass</i> x <i>speed</i><sup>2</sup>,52,0
25,What is the formula to calculate <em>gravitational potential energy</em>?,"<i>GPE</i> = <i>m g h</i> <br><br><i>(GPE = gravitational potential energy, <br>m = mass <br>g = gravitational field strength <br>h = height)</i>",52,0
26,What is the approximate gravitational field strength on Earth?,10 m/s<sup>2</sup>,52,0
27,"When an object falls, <i>Kinetic Energy gained</i> = ...",Gravitational Potential Energy lost,52,0
28,Name the four non-renewable sources of energy,&bull; Coal <br>&bull; Oil <br>&bull; Natural gas <br>&bull; Nuclear fuels,53,0
29,What do power stations usually use to drive a turbine?,Steam,53,0
